Short Name,Long Name
382,BG.West.100
383,BG.West.110
384,BG.West.130
386,BG.West.150
387,BG.West.160
388,BG.West.170
389,BG.West.200
390,BG.West.201
391,BG.West.202
392,BG.West.230
393,BG.West.250
394,BG.West.270
395,BG.West.290
396,BG.West.300
398,BG.West.310
399,BG.West.320
400,BG.West.340
401,BG.West.350
402,BG.West.370
403,BG.West.380
404,BG.West.401
405,BG.West.410
406,BG.West.430
407,BG.West.500
408,BG.West.510
409,BG.West.520
410,BG.West.530
411,BG.West.540
412,BG.West.545
413,BG.West.550
415,BG.West.610
417,BG.West.630
418,BG.West.640
419,BG.West.650
420,BG.West.660
421,BG.West.670
423,BG.West.700
424,BG.West.710
425,BG.West.720
426,BG.West.730
427,BG.West.740
428,BG.West.750
429,BG.West.760
430,BG.West.801
433,BG.West.804
434,BG.West.806
435,BG.West.807
436,BG.West.808
437,BG.West.809
438,BG.West.810
439,BG.West.811
440,BG.West.812
442,BG.West.814
443,BG.West.815
444,BG.West.816
445,BG.West.817
446,BG.West.818
447,BG.West.819
449,BG.West.853
450,BG.West.854
451,BG.West.858
452,BG.West.859
453,BG.West.862
454,BG.West.863
455,BG.West.864
457,BG.West.866
458,BG.West.868
459,BG.Zuid.010
460,BG.Zuid.020
461,BG.Zuid.030
462,BG.Zuid.040
463,BG.Zuid.080
464,BG.Zuid.100
465,BG.Zuid.110
466,BG.Zuid.120
467,BG.Zuid.130
468,BG.Zuid.200
469,BG.Zuid.300
470,BG.Zuid.310
471,BG.Zuid.330
472,BG.Zuid.340
473,BG.Zuid.350
474,BG.Zuid.360
475,BG.Zuid.380
476,BG.Zuid.390
477,BG.Zuid.400
478,BG.Zuid.430
479,BG.Zuid.440
480,BG.Zuid.460
481,BG.Zuid.480
482,BG.Zuid.801
483,BG.Zuid.802
484,BG.Zuid.805
485,BG.Zuid.806
486,BG.Zuid.807
487,BG.zuid.808
488,BG.Zuid.851
489,BG.Zuid.852
490,BG.Zuid.853
491,BG.Zuid.854
493,BG.Zuid.901
494,BG.Zuid.902
495,BG.Zuid.903
496,BG.Zuid.904
497,BG+ west 610
498,BG+.Mid.030
499,BG+.Mid.120
502,BG+.Oost.010
503,BG+.Oost.030
504,BG+.Oost.040
505,BG+.Oost.050
506,BG+.Oost.060
507,BG+.Oost.070
508,BG+.Oost.080
509,BG+.Oost.090
510,BG+.Oost.160
511,BG+.Oost.170
